id,prompt_type,prompt,response_file,graph_file,code_status
1008_1,cze_queries,Zobraz počet produktů s cenou vyšší než 21 750 Kč nebo nižší než 10 875 pro každý název produktu v koláčovém grafu.,responses_cze\1008_1_cze_queries.txt,graphs_cze\1008_1_cze_queries.png,✅ Graf uložen
1010@x_name@DESC_1,cze_queries,"Zobraz jednotlivé kraje a počet adres v každém kraji. Zobraz sloupcový graf, seřaď X sestupně.",responses_cze\1010@x_name@DESC_1_cze_queries.txt,graphs_cze\1010@x_name@DESC_1_cze_queries.png,✅ Graf uložen
1129_1,cze_queries,Jaká je nejvyšší cena výrobku seskupeného podle typu výrobku? Zobraz sloupcový graf.,responses_cze\1129_1_cze_queries.txt,graphs_cze\1129_1_cze_queries.png,✅ Graf uložen
1129_2,cze_queries,Uveď maximální cenu výrobku pro každý typ výrobku ve sloupcovém grafu.,responses_cze\1129_2_cze_queries.txt,graphs_cze\1129_2_cze_queries.png,✅ Graf uložen
1129_3,cze_queries,"Sloupcový graf: osa x - kód typu výrobku, osa y - maximální cena výrobku",responses_cze\1129_3_cze_queries.txt,graphs_cze\1129_3_cze_queries.png,✅ Graf uložen
189_1,cze_queries,Ukaž mi rozložení datum_na_adresu a množství datum_na_adresu. Seskup data podle atributu dalsi_detaily a rozděl datum_na_adresu podle měsíce ve sloupcovém grafu.,responses_cze\189_1_cze_queries.txt,,❌ Žádný kód nenalezen
189_2,cze_queries,Nakresli sloupcový graf rozložení datum_na_adresu a množství datum_na_adresu. Seskup podle atributu dalsi_detaily a rozděl datum_na_adresu podle měsíce.,responses_cze\189_2_cze_queries.txt,graphs_cze\189_2_cze_queries.png,✅ Graf uložen
189_3,cze_queries,Sloupcový graf zobrazuje rozložení datum_na_adresu a množství datum_na_adresu a seskupení podle atributu dalsi_detaily a rozdělení datum_na_adresu podle měsíců.,responses_cze\189_3_cze_queries.txt,graphs_cze\189_3_cze_queries.png,✅ Graf uložen
189_4,cze_queries,Zjisti datum_na_adresu a množství datum_na_adresu a barevně data rozděl podle atributu dalsi_detaily a datum_na_adresu rozděl podle měsíců a vizualizuj je pomocí sloupcového grafu.,responses_cze\189_4_cze_queries.txt,graphs_cze\189_4_cze_queries.png,✅ Graf uložen
210_1,cze_queries,"Zjisti datum_adresa_od a součet mesicni_pronajem_kc, seskup je podle atributu dalsi_detaily a rozděl datum_adresa_od podle dnů v týdnu a vizualizuj je pomocí sloupcového grafu.",responses_cze\210_1_cze_queries.txt,,❌ Žádný kód nenalezen
2224@x_name@ASC_1,cze_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku mi ukaž o rozdělení sídla a součtu příjmů, a seskup podle atributu sídlo do sloupcového grafu. Mohl bys to seřadit podle osy X vzestupně?",responses_cze\2224@x_name@ASC_1_cze_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2224@x_name@ASC_2,cze_queries,"Pro tyto záznamy z produktů a výrobce každého produktu vizualizuj sloupcový graf o rozdělení sídla a součtu tržeb, a seskup podle atributu sídlo, chci to zobrazit vzestupně podle osy x.",responses_cze\2224@x_name@ASC_2_cze_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2224@x_name@ASC_3,cze_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku nakresli sloupcový graf o rozložení sídla a součtu tržeb, a seskup je podle atributu sídlo. Uspořádej to podle osy x vzestupně.",responses_cze\2224@x_name@ASC_3_cze_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2236@y_name@ASC_1,cze_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku mi zobraz rozdělení zakladatele a průměr příjmů, a seskup je podle atributu zakladatel do sloupcového grafu a seřaď vzestupně podle průměru příjmů.",responses_cze\2236@y_name@ASC_1_cze_queries.txt,graphs_cze\2236@y_name@ASC_1_cze_queries.png,✅ Graf uložen
2236@y_name@ASC_2,cze_queries,"Pro tyto záznamy z výrobků a každého výrobce výrobku najdi zakladatele a průměr příjmů, seskup je podle atributu zakladatel a vizualizuj je pomocí sloupcového grafu, zobraz data podle celkového počtu vzestupně.",responses_cze\2236@y_name@ASC_2_cze_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2236@y_name@ASC_3,cze_queries,"Pro záznamy z výrobků a výrobce každého výrobku mi dej srovnání o průměru tržeb přes zřizovatele, a seskup podle příznaku zřizovatel pomocí sloupcového grafu. Mohl bys je seřadit podle průměru tržeb vzestupně?",responses_cze\2236@y_name@ASC_3_cze_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2236@y_name@ASC_4,cze_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku nakresli sloupcový graf o rozložení zakladatele a průměru příjmů, seskup je podle atributu zakladatel a osu y seřaď vzestupně.",responses_cze\2236@y_name@ASC_4_cze_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2606_1,cze_queries,Zjisti název a kapacitu výrobků s cenou vyšší než 15 225 (v CZK). Vizualizace pomocí koláčového grafu.,responses_cze\2606_1_cze_queries.txt,,❌ Chyba při vykreslení: All arrays must be of the same length
2606_2,cze_queries,"Koláčový graf o tom, který obsah katalogu má cenu vyšší než 15 225 korun. Zobraz názvy a kapacity jejich katalogových položek.",responses_cze\2606_2_cze_queries.txt,graphs_cze\2606_2_cze_queries.png,✅ Graf uložen
2606_3,cze_queries,Který obsah katalogu má cenu vyšší než 15 225 korun? Zobraz názvy a kapacity jejich položek v katalogu pomocí koláčového grafu.,responses_cze\2606_3_cze_queries.txt,graphs_cze\2606_3_cze_queries.png,✅ Graf uložen
2865@y_name@ASC_1,cze_queries,Vypiš názvy bouří a počet zasažených oblastí pro každou bouři pomocí sloupcového grafu a zobraz celkový počet ve vzestupném pořadí.,responses_cze\2865@y_name@ASC_1_cze_queries.txt,graphs_cze\2865@y_name@ASC_1_cze_queries.png,✅ Graf uložen
2865@y_name@ASC_2,cze_queries,"Vrať sloupcový graf o tom, kolik regionů bylo zasaženo každou bouří? Chci je seřadit vzestupně podle osy y.",responses_cze\2865@y_name@ASC_2_cze_queries.txt,graphs_cze\2865@y_name@ASC_2_cze_queries.png,✅ Graf uložen
2865@y_name@ASC_3,cze_queries,"Kolik regionů bylo zasaženo jednotlivými bouřkami? Vizualizuj pomocí sloupcového grafu, seřaď je vzestupně podle Y, prosím.",responses_cze\2865@y_name@ASC_3_cze_queries.txt,,❌ Chyba při vykreslení: name 'pocet_regionu' is not defined
2866_1,cze_queries,Zobraz názvy regionů a počet bouří pro každý region v koláčovém grafu.,responses_cze\2866_1_cze_queries.txt,graphs_cze\2866_1_cze_queries.png,✅ Graf uložen
2866_2,cze_queries,Zobraz názvy regionů a počet bouří pro každý region. Vykresli je jako koláčový graf.,responses_cze\2866_2_cze_queries.txt,graphs_cze\2866_2_cze_queries.png,✅ Graf uložen
2866_3,cze_queries,"Ukaž mi koláčový graf o tom, kolik bouří se vyskytlo v jednotlivých regionech?",responses_cze\2866_3_cze_queries.txt,graphs_cze\2866_3_cze_queries.png,✅ Graf uložen
2866_4,cze_queries,Kolik bouří se vyskytlo v jednotlivých regionech? Vykresli je jako koláčový graf.,responses_cze\2866_4_cze_queries.txt,graphs_cze\2866_4_cze_queries.png,✅ Graf uložen
